Slug,Title,Title Length,Title Compliant,Meta Description Length,Meta Description Compliant,Has Internal Links,Has Images,Images Optimized,Issues,Recommendations
aquarium-water-quality-problems-solutions,"Test Your Water",15,No,113,No,Yes,Yes,No,"Title length 15 (should be 50-60); Meta description length 113 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
backyard-bird-identification-guide,"Backyard Bird Identification Guide: Common Species",50,Yes,159,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-aquarium-thermometers-with-alarm,"Best Aquarium Thermometers with Alarm: 2024 Guide",49,No,165,No,Yes,Yes,Yes,"Title length 49 (should be 50-60); Meta description length 165 (should be 150-160)","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters"
best-bottom-feeders-for-medium-fish,"Best Bottom Feeders for Medium Fish: Complete Species Comparison Guide",70,No,150,Yes,Yes,Yes,Yes,"Title length 70 (should be 50-60)","Adjust title to 50-60 characters"
best-dog-breeds-for-apartments,"Best Dog Breeds for Apartments: Small Space Living",50,Yes,159,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-dog-breeds-for-families,"Best Dog Breeds for Families: Complete Guide for Pet Owners",59,Yes,157,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-dog-breeds-for-first-time-owners,"Best Dog Breeds for First-Time Owners: Beginner Guide",53,Yes,158,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-full-spectrum-aquarium-lights,"Best Full Spectrum Aquarium Lights: Complete Guide 2024",55,Yes,159,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
best-quiet-filters-40-gallon-tank,"Best Quiet Filters for 40-Gallon Tanks: Expert Guide 2025",57,Yes,139,No,Yes,Yes,No,"Meta description length 139 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
bottom-feeder-community-tank,"Bottom Feeder Community Tank Setup: Complete Compatibility Guide",64,No,152,Yes,Yes,Yes,No,"Title length 64 (should be 50-60); Images may not be properly optimized","Adjust title to 50-60 characters; Ensure all images have alt text and proper dimensions"
cat-health-care-tips,"Cat Health Care Tips: Essential Guide for Cat Owners",52,Yes,147,No,Yes,Yes,No,"Meta description length 147 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
cat-health-symptoms,"Cat Health Symptoms: When to Call the Vet",41,No,129,No,Yes,Yes,No,"Title length 41 (should be 50-60); Meta description length 129 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
cat-litter-box-problems-solutions,"Cat Litter Box Problems: Solutions & Troubleshooting",52,Yes,147,No,Yes,Yes,No,"Meta description length 147 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
cat-litter-box-training,"Cat Litter Box Training: Step-by-Step Guide",43,No,146,No,Yes,Yes,No,"Title length 43 (should be 50-60); Meta description length 146 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
cat-urinary-health,"Cat Urinary Health: Symptoms, Prevention & When to Call the Vet",63,No,133,No,Yes,Yes,No,"Title length 63 (should be 50-60); Meta description length 133 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
common-dog-diseases,"Common Dog Diseases: Symptoms and When to Call the Vet",54,Yes,159,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
dog-breed-characteristics,"Dog Breed Characteristics: Complete Guide to Understanding Breed Traits",71,No,158,Yes,Yes,Yes,No,"Title length 71 (should be 50-60); Images may not be properly optimized","Adjust title to 50-60 characters; Ensure all images have alt text and proper dimensions"
dog-breed-cost,"Dog Breed Cost Guide: Pricing for Popular Breeds",48,No,154,Yes,Yes,Yes,No,"Title length 48 (should be 50-60); Images may not be properly optimized","Adjust title to 50-60 characters; Ensure all images have alt text and proper dimensions"
dog-breed-exercise-requirements,"Dog Breed Exercise Requirements: Complete Activity Guide",56,Yes,146,No,Yes,Yes,No,"Meta description length 146 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
dog-breed-grooming-needs,"Dog Breed Grooming Needs: Complete Guide by Coat Type",53,Yes,150,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
dog-breed-health-issues,"Dog Breed Health Issues: Breed-Specific Problems & Prevention",61,No,161,No,Yes,Yes,No,"Title length 61 (should be 50-60); Meta description length 161 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
dog-breed-history,"Dog Breed History: Origins and Evolution of Popular Breeds",58,Yes,188,No,Yes,Yes,No,"Meta description length 188 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
dog-breed-lifespan,"Dog Breed Lifespan: How Long Do Different Breeds Live?",54,Yes,157,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
dog-breed-popularity,"Most Popular Dog Breeds: Trends and Reasons Explained",53,Yes,160,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
dog-breed-selection-guide,"Dog Breed Selection Guide: How to Choose the Right Breed",56,Yes,169,No,Yes,Yes,No,"Meta description length 169 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
dog-breed-size-comparison,"Dog Breed Size Comparison: Small to Giant Breeds Guide",54,Yes,143,No,Yes,Yes,No,"Meta description length 143 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
dog-breed-standards,"AKC Dog Breed Standards: Complete Guide for Pet Owners",54,Yes,181,No,Yes,Yes,No,"Meta description length 181 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
dog-breed-temperament,"Dog Breed Temperament Types: Guide to Personality Traits",56,Yes,150,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
dog-breed-training-difficulty,"Dog Breed Training Difficulty: Complete Guide for Trainers",58,Yes,164,No,Yes,Yes,No,"Meta description length 164 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
dog-breeding-practices,"Dog Breeding Practices: Responsible Breeding Guide",50,Yes,157,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
dog-grooming-tips,"Dog Grooming Tips: Professional Techniques at Home",50,Yes,141,No,Yes,Yes,No,"Meta description length 141 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
dog-skin-conditions,"Dog Skin Conditions: Symptoms and When to Call the Vet",54,Yes,153,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
dog-training-basics,"Dog Training Basics: Fundamentals for Every Owner",49,No,156,Yes,Yes,Yes,No,"Title length 49 (should be 50-60); Images may not be properly optimized","Adjust title to 50-60 characters; Ensure all images have alt text and proper dimensions"
dog-walking-safety,"Dog Walking Safety: Essential Tips and Checklist",48,No,166,No,Yes,Yes,No,"Title length 48 (should be 50-60); Meta description length 166 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
friendliest-dog-breeds,"Friendliest Dog Breeds: Complete Guide to Affectionate Dogs",59,Yes,152,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
healthy-pet-treats,"Healthy Pet Treats: Recipes, Guidelines, and Nutrition Tips",59,Yes,176,No,Yes,Yes,No,"Meta description length 176 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
indoor-cat-exercise,"Indoor Cat Exercise: Complete Guide for Active Indoor Cats",58,Yes,145,No,Yes,Yes,No,"Meta description length 145 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
multi-cat-household-management-guide,"Multi-Cat Household Management: Preventing Conflicts and Creating Harmony",73,No,177,No,Yes,Yes,No,"Title length 73 (should be 50-60); Meta description length 177 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
pet-allergy-management,"Pet Allergy Management: Types, Symptoms, and Treatment Guide",60,Yes,138,No,Yes,Yes,No,"Meta description length 138 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
pet-breed,"Pet Breed Guide: Understanding Dog and Cat Breeds",49,No,157,Yes,Yes,Yes,No,"Title length 49 (should be 50-60); Images may not be properly optimized","Adjust title to 50-60 characters; Ensure all images have alt text and proper dimensions"
pet-breed-identification,"Pet Breed Identification Guide: How to Identify Your Pet",56,Yes,30,No,Yes,Yes,No,"Meta description length 30 (should be 150-160); Images may not be properly optimized; Keyword not found in meta description","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions; Include target keyword in meta description"
pet-breeder,"Finding a Responsible Pet Breeder: Complete Guide",49,No,137,No,Yes,Yes,No,"Title length 49 (should be 50-60); Meta description length 137 (should be 150-160); Images may not be properly optimized; Keyword not found in meta description","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions; Include target keyword in meta description"
pet-breeding,"Responsible Pet Breeding Guide: Health, Ethics & Best Practices",63,No,140,No,Yes,Yes,No,"Title length 63 (should be 50-60); Meta description length 140 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
pet-dental-health,"Pet Dental Health: Complete Care Guide for Dogs and Cats",56,Yes,143,No,Yes,Yes,No,"Meta description length 143 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
pet-emergency-signs,"Pet Emergency Signs: When to Seek Immediate Veterinary Care",59,Yes,158,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
pet-first-aid,"Pet First Aid: Essential Procedures and Emergency Response Guide",64,No,155,Yes,Yes,Yes,No,"Title length 64 (should be 50-60); Images may not be properly optimized","Adjust title to 50-60 characters; Ensure all images have alt text and proper dimensions"
pet-grooming-tips,"Pet Grooming Tips: Complete Guide for Dogs and Cats",51,Yes,158,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
pet-health-checkup,"Pet Health Checkup Guide: Annual Vet Visits & Preventive Care",61,No,162,No,Yes,Yes,No,"Title length 61 (should be 50-60); Meta description length 162 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
pet-loss-grief-support-guide,"Pet Loss Grief Support: Coping Strategies & Healing",51,Yes,160,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
pet-naming,"Pet Naming Guide: How to Choose the Perfect Name for Your Dog or Cat",68,No,130,No,Yes,Yes,No,"Title length 68 (should be 50-60); Meta description length 130 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
pet-nutrition-guide,"Pet Nutrition Guide: Complete Feeding Requirements for Dogs and Cats",68,No,159,Yes,Yes,Yes,No,"Title length 68 (should be 50-60); Images may not be properly optimized","Adjust title to 50-60 characters; Ensure all images have alt text and proper dimensions"
pet-parasite-prevention,"Pet Parasite Prevention: Complete Guide to Parasites and Prevention",67,No,146,No,Yes,Yes,No,"Title length 67 (should be 50-60); Meta description length 146 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
pet-vaccination-schedule,"Pet Vaccination Schedule: Complete Timeline Guide",49,No,162,No,Yes,Yes,No,"Title length 49 (should be 50-60); Meta description length 162 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
pet-weight-management,"Pet Weight Management: Complete Guide for Healthy Pets",54,Yes,162,No,Yes,Yes,No,"Meta description length 162 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
puppy-training-basics,"Everything You Need to Know About Puppy Training Basics",55,Yes,50,No,Yes,Yes,No,"Meta description length 50 (should be 150-160); Images may not be properly optimized; Keyword not found in meta description","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions; Include target keyword in meta description"
rare-dog-breeds,"Rare Dog Breeds: Complete Guide to Uncommon Breeds",50,Yes,175,No,Yes,Yes,No,"Meta description length 175 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
reptile-humidity-control-complete-guide,"Reptile Humidity Control: Complete Guide",40,No,195,No,Yes,Yes,No,"Title length 40 (should be 50-60); Meta description length 195 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
responsible-dog-breeding,"The Ultimate Responsible Dog Breeding Guide for Pet Parents",59,Yes,55,No,Yes,Yes,No,"Meta description length 55 (should be 150-160); Images may not be properly optimized","Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"
senior-pet-care,"Senior Pet Care: Complete Guide for Aging Dogs and Cats",55,Yes,155,Yes,Yes,Yes,No,"Images may not be properly optimized","Ensure all images have alt text and proper dimensions"
senior-pet-health-issues,"Senior Pet Health Issues: Age-Related Care Guide",48,No,170,No,Yes,Yes,No,"Title length 48 (should be 50-60); Meta description length 170 (should be 150-160); Images may not be properly optimized","Adjust title to 50-60 characters; Adjust meta description to 150-160 characters; Ensure all images have alt text and proper dimensions"